
{'eval/walltime': 189.9718143939972, 'eval/episode_distance_from_origin': Array(3040.2224, dtype=float32), 'eval/episode_distance_reward': Array(0.04533512, dtype=float32), 'eval/episode_forward_reward': Array(7.555855, dtype=float32), 'eval/episode_reward': Array(-203.19293, dtype=float32), 'eval/episode_reward_alive': Array(1.8320312, dtype=float32), 'eval/episode_reward_linvel': Array(7.555855, dtype=float32), 'eval/episode_reward_quadctrl': Array(-212.62614, dtype=float32), 'eval/episode_x_position': Array(3019.607, dtype=float32), 'eval/episode_x_velocity': Array(1.5111728, dtype=float32), 'eval/episode_y_position': Array(-0.82050574, dtype=float32), 'eval/episode_y_velocity': Array(-1.7427936, dtype=float32), 'eval/episode_distance_from_origin_std': Array(52.39384, dtype=float32), 'eval/episode_distance_reward_std': Array(0.37555018, dtype=float32), 'eval/episode_forward_reward_std': Array(62.59169, dtype=float32), 'eval/episode_reward_std': Array(62.78486, dtype=float32), 'eval/episode_reward_alive_std': Array(2.5975327, dtype=float32), 'eval/episode_reward_linvel_std': Array(62.59169, dtype=float32), 'eval/episode_reward_quadctrl_std': Array(2.1954284, dtype=float32), 'eval/episode_x_position_std': Array(52.66544, dtype=float32), 'eval/episode_x_velocity_std': Array(12.518339, dtype=float32), 'eval/episode_y_position_std': Array(56.790268, dtype=float32), 'eval/episode_y_velocity_std': Array(12.377631, dtype=float32), 'eval/avg_episode_length': Array(1000., dtype=float32), 'eval/epoch_eval_time': 189.9718143939972, 'eval/sps': 673.7841632366101, 'num_steps': 0}
{'eval/walltime': 326.333945274353, 'training/sps': 406.38887451883784, 'training/walltime': 201.58032155036926, 'training/entropy_loss': Array(-0.00506623, dtype=float32), 'training/policy_loss': Array(-0.00839677, dtype=float32), 'training/total_loss': Array(-0.00167435, dtype=float32), 'training/v_loss': Array(0.01178865, dtype=float32), 'eval/episode_distance_from_origin': Array(3168.5627, dtype=float32), 'eval/episode_distance_reward': Array(0.69345206, dtype=float32), 'eval/episode_forward_reward': Array(115.57534, dtype=float32), 'eval/episode_reward': Array(-96.67026, dtype=float32), 'eval/episode_reward_alive': Array(3.5703125, dtype=float32), 'eval/episode_reward_linvel': Array(115.57534, dtype=float32), 'eval/episode_reward_quadctrl': Array(-216.50937, dtype=float32), 'eval/episode_x_position': Array(3146.5103, dtype=float32), 'eval/episode_x_velocity': Array(23.115068, dtype=float32), 'eval/episode_y_position': Array(8.035863, dtype=float32), 'eval/episode_y_velocity': Array(-0.08790153, dtype=float32), 'eval/episode_distance_from_origin_std': Array(56.759323, dtype=float32), 'eval/episode_distance_reward_std': Array(0.36376348, dtype=float32), 'eval/episode_forward_reward_std': Array(60.62725, dtype=float32), 'eval/episode_reward_std': Array(61.53671, dtype=float32), 'eval/episode_reward_alive_std': Array(5.6863785, dtype=float32), 'eval/episode_reward_linvel_std': Array(60.62725, dtype=float32), 'eval/episode_reward_quadctrl_std': Array(3.6015704, dtype=float32), 'eval/episode_x_position_std': Array(57.556393, dtype=float32), 'eval/episode_x_velocity_std': Array(12.125451, dtype=float32), 'eval/episode_y_position_std': Array(108.24672, dtype=float32), 'eval/episode_y_velocity_std': Array(19.480907, dtype=float32), 'eval/avg_episode_length': Array(1000., dtype=float32), 'eval/epoch_eval_time': 136.36213088035583, 'eval/sps': 938.677029858878, 'num_steps': 81920}
{'eval/walltime': 462.8178503513336, 'training/sps': 509.44060027860803, 'training/walltime': 362.384152173996, 'training/entropy_loss': Array(-0.00498943, dtype=float32), 'training/policy_loss': Array(-0.0541669, dtype=float32), 'training/total_loss': Array(-0.04506525, dtype=float32), 'training/v_loss': Array(0.01409108, dtype=float32), 'eval/episode_distance_from_origin': Array(3228.2185, dtype=float32), 'eval/episode_distance_reward': Array(1.0103085, dtype=float32), 'eval/episode_forward_reward': Array(168.38477, dtype=float32), 'eval/episode_reward': Array(-37.201313, dtype=float32), 'eval/episode_reward_alive': Array(9.925781, dtype=float32), 'eval/episode_reward_linvel': Array(168.38477, dtype=float32), 'eval/episode_reward_quadctrl': Array(-216.52219, dtype=float32), 'eval/episode_x_position': Array(3207.2544, dtype=float32), 'eval/episode_x_velocity': Array(33.676952, dtype=float32), 'eval/episode_y_position': Array(-15.432281, dtype=float32), 'eval/episode_y_velocity': Array(-3.7667074, dtype=float32), 'eval/episode_distance_from_origin_std': Array(63.132057, dtype=float32), 'eval/episode_distance_reward_std': Array(0.35016158, dtype=float32), 'eval/episode_forward_reward_std': Array(58.360268, dtype=float32), 'eval/episode_reward_std': Array(62.264683, dtype=float32), 'eval/episode_reward_alive_std': Array(11.684673, dtype=float32), 'eval/episode_reward_linvel_std': Array(58.360268, dtype=float32), 'eval/episode_reward_quadctrl_std': Array(3.9878726, dtype=float32), 'eval/episode_x_position_std': Array(63.26165, dtype=float32), 'eval/episode_x_velocity_std': Array(11.672054, dtype=float32), 'eval/episode_y_position_std': Array(86.37349, dtype=float32), 'eval/episode_y_velocity_std': Array(15.933057, dtype=float32), 'eval/avg_episode_length': Array(1000., dtype=float32), 'eval/epoch_eval_time': 136.4839050769806, 'eval/sps': 937.8395198159413, 'num_steps': 163840}
{'eval/walltime': 599.1546244621277, 'training/sps': 508.14416016437826, 'training/walltime': 523.598245382309, 'training/entropy_loss': Array(-0.00477863, dtype=float32), 'training/policy_loss': Array(-0.04516975, dtype=float32), 'training/total_loss': Array(-0.04081134, dtype=float32), 'training/v_loss': Array(0.00913704, dtype=float32), 'eval/episode_distance_from_origin': Array(3251.605, dtype=float32), 'eval/episode_distance_reward': Array(1.153384, dtype=float32), 'eval/episode_forward_reward': Array(192.23068, dtype=float32), 'eval/episode_reward': Array(-7.035603, dtype=float32), 'eval/episode_reward_alive': Array(18.878906, dtype=float32), 'eval/episode_reward_linvel': Array(192.23068, dtype=float32), 'eval/episode_reward_quadctrl': Array(-219.29857, dtype=float32), 'eval/episode_x_position': Array(3230.4785, dtype=float32), 'eval/episode_x_velocity': Array(38.44613, dtype=float32), 'eval/episode_y_position': Array(-10.719793, dtype=float32), 'eval/episode_y_velocity': Array(-3.0836804, dtype=float32), 'eval/episode_distance_from_origin_std': Array(52.2189, dtype=float32), 'eval/episode_distance_reward_std': Array(0.29757494, dtype=float32), 'eval/episode_forward_reward_std': Array(49.595844, dtype=float32), 'eval/episode_reward_std': Array(54.5042, dtype=float32), 'eval/episode_reward_alive_std': Array(16.06575, dtype=float32), 'eval/episode_reward_linvel_std': Array(49.595844, dtype=float32), 'eval/episode_reward_quadctrl_std': Array(4.804868, dtype=float32), 'eval/episode_x_position_std': Array(52.365807, dtype=float32), 'eval/episode_x_velocity_std': Array(9.919165, dtype=float32), 'eval/episode_y_position_std': Array(78.9844, dtype=float32), 'eval/episode_y_velocity_std': Array(14.725353, dtype=float32), 'eval/avg_episode_length': Array(1000., dtype=float32), 'eval/epoch_eval_time': 136.33677411079407, 'eval/sps': 938.8516109085932, 'num_steps': 245760}
{'eval/walltime': 735.4238014221191, 'training/sps': 509.7322304430027, 'training/walltime': 684.3100762367249, 'training/entropy_loss': Array(-0.00455044, dtype=float32), 'training/policy_loss': Array(-0.02528274, dtype=float32), 'training/total_loss': Array(-0.02236966, dtype=float32), 'training/v_loss': Array(0.00746352, dtype=float32), 'eval/episode_distance_from_origin': Array(3273.5771, dtype=float32), 'eval/episode_distance_reward': Array(1.2611816, dtype=float32), 'eval/episode_forward_reward': Array(210.19696, dtype=float32), 'eval/episode_reward': Array(16.515831, dtype=float32), 'eval/episode_reward_alive': Array(26.054688, dtype=float32), 'eval/episode_reward_linvel': Array(210.19696, dtype=float32), 'eval/episode_reward_quadctrl': Array(-220.99698, dtype=float32), 'eval/episode_x_position': Array(3253.0933, dtype=float32), 'eval/episode_x_velocity': Array(42.03939, dtype=float32), 'eval/episode_y_position': Array(18.75365, dtype=float32), 'eval/episode_y_velocity': Array(1.7634149, dtype=float32), 'eval/episode_distance_from_origin_std': Array(44.64143, dtype=float32), 'eval/episode_distance_reward_std': Array(0.2497666, dtype=float32), 'eval/episode_forward_reward_std': Array(41.62776, dtype=float32), 'eval/episode_reward_std': Array(46.041252, dtype=float32), 'eval/episode_reward_alive_std': Array(12.9484005, dtype=float32), 'eval/episode_reward_linvel_std': Array(41.62776, dtype=float32), 'eval/episode_reward_quadctrl_std': Array(4.1787033, dtype=float32), 'eval/episode_x_position_std': Array(44.844418, dtype=float32), 'eval/episode_x_velocity_std': Array(8.325553, dtype=float32), 'eval/episode_y_position_std': Array(64.43912, dtype=float32), 'eval/episode_y_velocity_std': Array(12.212731, dtype=float32), 'eval/avg_episode_length': Array(1000., dtype=float32), 'eval/epoch_eval_time': 136.26917695999146, 'eval/sps': 939.3173339381123, 'num_steps': 327680}
{'eval/walltime': 871.5209715366364, 'training/sps': 510.799347750054, 'training/walltime': 844.6861619949341, 'training/entropy_loss': Array(-0.00435271, dtype=float32), 'training/policy_loss': Array(-0.03051282, dtype=float32), 'training/total_loss': Array(-0.03088977, dtype=float32), 'training/v_loss': Array(0.00397577, dtype=float32), 'eval/episode_distance_from_origin': Array(3266.7107, dtype=float32), 'eval/episode_distance_reward': Array(1.2248297, dtype=float32), 'eval/episode_forward_reward': Array(204.13828, dtype=float32), 'eval/episode_reward': Array(12.569764, dtype=float32), 'eval/episode_reward_alive': Array(29.730469, dtype=float32), 'eval/episode_reward_linvel': Array(204.13828, dtype=float32), 'eval/episode_reward_quadctrl': Array(-222.52382, dtype=float32), 'eval/episode_x_position': Array(3246.5686, dtype=float32), 'eval/episode_x_velocity': Array(40.82766, dtype=float32), 'eval/episode_y_position': Array(10.909193, dtype=float32), 'eval/episode_y_velocity': Array(0.27956372, dtype=float32), 'eval/episode_distance_from_origin_std': Array(40.422413, dtype=float32), 'eval/episode_distance_reward_std': Array(0.23498423, dtype=float32), 'eval/episode_forward_reward_std': Array(39.16406, dtype=float32), 'eval/episode_reward_std': Array(39.47487, dtype=float32), 'eval/episode_reward_alive_std': Array(8.613194, dtype=float32), 'eval/episode_reward_linvel_std': Array(39.16406, dtype=float32), 'eval/episode_reward_quadctrl_std': Array(2.8389735, dtype=float32), 'eval/episode_x_position_std': Array(40.72029, dtype=float32), 'eval/episode_x_velocity_std': Array(7.8328123, dtype=float32), 'eval/episode_y_position_std': Array(65.9237, dtype=float32), 'eval/episode_y_velocity_std': Array(12.103838, dtype=float32), 'eval/avg_episode_length': Array(1000., dtype=float32), 'eval/epoch_eval_time': 136.0971701145172, 'eval/sps': 940.5044931668751, 'num_steps': 409600}
{'eval/walltime': 1007.7819283008575, 'training/sps': 508.7780988633946, 'training/walltime': 1005.6993820667267, 'training/entropy_loss': Array(-0.00405189, dtype=float32), 'training/policy_loss': Array(-0.02057345, dtype=float32), 'training/total_loss': Array(-0.01975009, dtype=float32), 'training/v_loss': Array(0.00487525, dtype=float32), 'eval/episode_distance_from_origin': Array(3271.486, dtype=float32), 'eval/episode_distance_reward': Array(1.2573842, dtype=float32), 'eval/episode_forward_reward': Array(209.564, dtype=float32), 'eval/episode_reward': Array(25.793268, dtype=float32), 'eval/episode_reward_alive': Array(42.679688, dtype=float32), 'eval/episode_reward_linvel': Array(209.564, dtype=float32), 'eval/episode_reward_quadctrl': Array(-227.70782, dtype=float32), 'eval/episode_x_position': Array(3249.4138, dtype=float32), 'eval/episode_x_velocity': Array(41.912796, dtype=float32), 'eval/episode_y_position': Array(22.35237, dtype=float32), 'eval/episode_y_velocity': Array(2.0169282, dtype=float32), 'eval/episode_distance_from_origin_std': Array(44.14398, dtype=float32), 'eval/episode_distance_reward_std': Array(0.2620101, dtype=float32), 'eval/episode_forward_reward_std': Array(43.668358, dtype=float32), 'eval/episode_reward_std': Array(64.88734, dtype=float32), 'eval/episode_reward_alive_std': Array(48.68853, dtype=float32), 'eval/episode_reward_linvel_std': Array(43.668358, dtype=float32), 'eval/episode_reward_quadctrl_std': Array(8.718451, dtype=float32), 'eval/episode_x_position_std': Array(44.199257, dtype=float32), 'eval/episode_x_velocity_std': Array(8.733667, dtype=float32), 'eval/episode_y_position_std': Array(80.1455, dtype=float32), 'eval/episode_y_velocity_std': Array(15.040771, dtype=float32), 'eval/avg_episode_length': Array(1000., dtype=float32), 'eval/epoch_eval_time': 136.2609567642212, 'eval/sps': 939.3740000041573, 'num_steps': 491520}
{'eval/walltime': 1144.0788042545319, 'training/sps': 510.0307441184491, 'training/walltime': 1166.317150592804, 'training/entropy_loss': Array(-0.0038919, dtype=float32), 'training/policy_loss': Array(-0.01970825, dtype=float32), 'training/total_loss': Array(-0.01932023, dtype=float32), 'training/v_loss': Array(0.00427993, dtype=float32), 'eval/episode_distance_from_origin': Array(3279.8794, dtype=float32), 'eval/episode_distance_reward': Array(1.3236041, dtype=float32), 'eval/episode_forward_reward': Array(220.6007, dtype=float32), 'eval/episode_reward': Array(209.8678, dtype=float32), 'eval/episode_reward_alive': Array(246.51172, dtype=float32), 'eval/episode_reward_linvel': Array(220.6007, dtype=float32), 'eval/episode_reward_quadctrl': Array(-258.56818, dtype=float32), 'eval/episode_x_position': Array(3245.7004, dtype=float32), 'eval/episode_x_velocity': Array(44.12014, dtype=float32), 'eval/episode_y_position': Array(43.59285, dtype=float32), 'eval/episode_y_velocity': Array(15.138994, dtype=float32), 'eval/episode_distance_from_origin_std': Array(45.721943, dtype=float32), 'eval/episode_distance_reward_std': Array(0.3619123, dtype=float32), 'eval/episode_forward_reward_std': Array(60.318737, dtype=float32), 'eval/episode_reward_std': Array(100.30987, dtype=float32), 'eval/episode_reward_alive_std': Array(88.05096, dtype=float32), 'eval/episode_reward_linvel_std': Array(60.318737, dtype=float32), 'eval/episode_reward_quadctrl_std': Array(9.500662, dtype=float32), 'eval/episode_x_position_std': Array(46.503426, dtype=float32), 'eval/episode_x_velocity_std': Array(12.063748, dtype=float32), 'eval/episode_y_position_std': Array(77.73192, dtype=float32), 'eval/episode_y_velocity_std': Array(21.380665, dtype=float32), 'eval/avg_episode_length': Array(1000., dtype=float32), 'eval/epoch_eval_time': 136.29687595367432, 'eval/sps': 939.126440752066, 'num_steps': 573440}
{'eval/walltime': 1280.3853948116302, 'training/sps': 510.26685169554855, 'training/walltime': 1326.860599040985, 'training/entropy_loss': Array(-0.0030109, dtype=float32), 'training/policy_loss': Array(0.01952446, dtype=float32), 'training/total_loss': Array(0.02806308, dtype=float32), 'training/v_loss': Array(0.01154952, dtype=float32), 'eval/episode_distance_from_origin': Array(3329.7893, dtype=float32), 'eval/episode_distance_reward': Array(1.6974213, dtype=float32), 'eval/episode_forward_reward': Array(282.90356, dtype=float32), 'eval/episode_reward': Array(299.46954, dtype=float32), 'eval/episode_reward_alive': Array(278.11328, dtype=float32), 'eval/episode_reward_linvel': Array(282.90356, dtype=float32), 'eval/episode_reward_quadctrl': Array(-263.24472, dtype=float32), 'eval/episode_x_position': Array(3295.7673, dtype=float32), 'eval/episode_x_velocity': Array(56.580715, dtype=float32), 'eval/episode_y_position': Array(38.65518, dtype=float32), 'eval/episode_y_velocity': Array(6.7880354, dtype=float32), 'eval/episode_distance_from_origin_std': Array(45.95596, dtype=float32), 'eval/episode_distance_reward_std': Array(0.34074458, dtype=float32), 'eval/episode_forward_reward_std': Array(56.79071, dtype=float32), 'eval/episode_reward_std': Array(94.38071, dtype=float32), 'eval/episode_reward_alive_std': Array(77.201195, dtype=float32), 'eval/episode_reward_linvel_std': Array(56.79071, dtype=float32), 'eval/episode_reward_quadctrl_std': Array(7.2338614, dtype=float32), 'eval/episode_x_position_std': Array(46.14871, dtype=float32), 'eval/episode_x_velocity_std': Array(11.358158, dtype=float32), 'eval/episode_y_position_std': Array(69.7233, dtype=float32), 'eval/episode_y_velocity_std': Array(17.099777, dtype=float32), 'eval/avg_episode_length': Array(1000., dtype=float32), 'eval/epoch_eval_time': 136.3065905570984, 'eval/sps': 939.0595089852329, 'num_steps': 655360}
{'eval/walltime': 1416.5317096710205, 'training/sps': 509.62850751988174, 'training/walltime': 1487.605139017105, 'training/entropy_loss': Array(-0.00272813, dtype=float32), 'training/policy_loss': Array(-0.00397468, dtype=float32), 'training/total_loss': Array(0.00214381, dtype=float32), 'training/v_loss': Array(0.00884661, dtype=float32), 'eval/episode_distance_from_origin': Array(3341.359, dtype=float32), 'eval/episode_distance_reward': Array(1.8153664, dtype=float32), 'eval/episode_forward_reward': Array(302.56107, dtype=float32), 'eval/episode_reward': Array(340.03668, dtype=float32), 'eval/episode_reward_alive': Array(300.6211, dtype=float32), 'eval/episode_reward_linvel': Array(302.56107, dtype=float32), 'eval/episode_reward_quadctrl': Array(-264.96085, dtype=float32), 'eval/episode_x_position': Array(3307.394, dtype=float32), 'eval/episode_x_velocity': Array(60.51221, dtype=float32), 'eval/episode_y_position': Array(36.19185, dtype=float32), 'eval/episode_y_velocity': Array(-0.06809539, dtype=float32), 'eval/episode_distance_from_origin_std': Array(45.76274, dtype=float32), 'eval/episode_distance_reward_std': Array(0.34203836, dtype=float32), 'eval/episode_forward_reward_std': Array(57.006386, dtype=float32), 'eval/episode_reward_std': Array(90.56421, dtype=float32), 'eval/episode_reward_alive_std': Array(68.67177, dtype=float32), 'eval/episode_reward_linvel_std': Array(57.006386, dtype=float32), 'eval/episode_reward_quadctrl_std': Array(6.3790765, dtype=float32), 'eval/episode_x_position_std': Array(45.97282, dtype=float32), 'eval/episode_x_velocity_std': Array(11.401279, dtype=float32), 'eval/episode_y_position_std': Array(72.40562, dtype=float32), 'eval/episode_y_velocity_std': Array(14.94154, dtype=float32), 'eval/avg_episode_length': Array(1000., dtype=float32), 'eval/epoch_eval_time': 136.14631485939026, 'eval/sps': 940.1649991936716, 'num_steps': 737280}
{'eval/walltime': 1553.0575461387634, 'training/sps': 508.9307189084769, 'training/walltime': 1648.5700738430023, 'training/entropy_loss': Array(-0.00243378, dtype=float32), 'training/policy_loss': Array(-0.01358185, dtype=float32), 'training/total_loss': Array(-0.00826271, dtype=float32), 'training/v_loss': Array(0.00775293, dtype=float32), 'eval/episode_distance_from_origin': Array(3387.2764, dtype=float32), 'eval/episode_distance_reward': Array(2.2835126, dtype=float32), 'eval/episode_forward_reward': Array(380.5855, dtype=float32), 'eval/episode_reward': Array(416.75092, dtype=float32), 'eval/episode_reward_alive': Array(303.4961, dtype=float32), 'eval/episode_reward_linvel': Array(380.5855, dtype=float32), 'eval/episode_reward_quadctrl': Array(-269.61414, dtype=float32), 'eval/episode_x_position': Array(3353.4053, dtype=float32), 'eval/episode_x_velocity': Array(76.1171, dtype=float32), 'eval/episode_y_position': Array(42.078007, dtype=float32), 'eval/episode_y_velocity': Array(0.05949438, dtype=float32), 'eval/episode_distance_from_origin_std': Array(45.896755, dtype=float32), 'eval/episode_distance_reward_std': Array(0.40488315, dtype=float32), 'eval/episode_forward_reward_std': Array(67.480515, dtype=float32), 'eval/episode_reward_std': Array(81.07357, dtype=float32), 'eval/episode_reward_alive_std': Array(48.685272, dtype=float32), 'eval/episode_reward_linvel_std': Array(67.480515, dtype=float32), 'eval/episode_reward_quadctrl_std': Array(5.344229, dtype=float32), 'eval/episode_x_position_std': Array(46.399784, dtype=float32), 'eval/episode_x_velocity_std': Array(13.496104, dtype=float32), 'eval/episode_y_position_std': Array(69.36044, dtype=float32), 'eval/episode_y_velocity_std': Array(19.171085, dtype=float32), 'eval/avg_episode_length': Array(1000., dtype=float32), 'eval/epoch_eval_time': 136.52583646774292, 'eval/sps': 937.5514797174868, 'num_steps': 819200}
{'eval/walltime': 1689.4094927310944, 'training/sps': 510.86793676916204, 'training/walltime': 1808.9246275424957, 'training/entropy_loss': Array(-0.00201643, dtype=float32), 'training/policy_loss': Array(-0.00730606, dtype=float32), 'training/total_loss': Array(0.00162239, dtype=float32), 'training/v_loss': Array(0.01094489, dtype=float32), 'eval/episode_distance_from_origin': Array(3438.5996, dtype=float32), 'eval/episode_distance_reward': Array(2.6568062, dtype=float32), 'eval/episode_forward_reward': Array(442.80103, dtype=float32), 'eval/episode_reward': Array(428.18445, dtype=float32), 'eval/episode_reward_alive': Array(253.82812, dtype=float32), 'eval/episode_reward_linvel': Array(442.80103, dtype=float32), 'eval/episode_reward_quadctrl': Array(-271.1016, dtype=float32), 'eval/episode_x_position': Array(3405.8655, dtype=float32), 'eval/episode_x_velocity': Array(88.56021, dtype=float32), 'eval/episode_y_position': Array(-35.12236, dtype=float32), 'eval/episode_y_velocity': Array(-19.6667, dtype=float32), 'eval/episode_distance_from_origin_std': Array(55.014763, dtype=float32), 'eval/episode_distance_reward_std': Array(0.47785524, dtype=float32), 'eval/episode_forward_reward_std': Array(79.64252, dtype=float32), 'eval/episode_reward_std': Array(88.24105, dtype=float32), 'eval/episode_reward_alive_std': Array(35.803032, dtype=float32), 'eval/episode_reward_linvel_std': Array(79.64252, dtype=float32), 'eval/episode_reward_quadctrl_std': Array(5.1906376, dtype=float32), 'eval/episode_x_position_std': Array(55.317818, dtype=float32), 'eval/episode_x_velocity_std': Array(15.928517, dtype=float32), 'eval/episode_y_position_std': Array(82.25894, dtype=float32), 'eval/episode_y_velocity_std': Array(19.026398, dtype=float32), 'eval/avg_episode_length': Array(1000., dtype=float32), 'eval/epoch_eval_time': 136.35194659233093, 'eval/sps': 938.7471407555198, 'num_steps': 901120}
